DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_INVOICED,34,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,TOTAL_PLACEMENT_FEE,38,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_DESCRIPTION,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,WEEKLY_CAMPAIGN_BUDGET,61,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_ACTIVE,18,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_PROMO_APPLY_BY_CLAIM,30,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,UPDATED_AT,48,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,VERTICAL,42,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,MONTHLY_CAMPAIGN_BUDGET,62,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,SORT_ORDER,23,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,SALESFORCE_OPPORTUNITY_LINE_ITEM_ID,37,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,MAX_REDEMPTION_COUNT,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_ID_RN,58,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,CAMPAIGN_START_TIME,19,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_SELF_SERVE,45,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,TEMPLATE_NAME,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,IS_ACTIVE_ROW,59,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,FLAT_FEE,8,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,MEMBERSHIP_TYPE,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PROMOTION_ID,24,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,PROMOTION_LEVEL,53,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,STORE_PROMOTION_MEMBERSHIP_ID,46,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,TOTAL_CAMPAIGN_BUDGET,63,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_MEMBERSHIP_PROMOTION,ENTITY_ID,17,TEXT,16777216.0,,,,
